Cod;Funcionario;Entidad;Nivel Información ;Frecuencia actualizacion ;TipoDato;Actas de acercamiento y manifestación de interés;Suscripción acuerdo de compromiso;Entrega acuerdo de compromiso;Acuerdo de compromiso;Gestion acceso a los datos y documentos requeridos ; Análisis de información;Cronograma Concertado;Análisis y cronograma (fecha programada);Fecha de entrega de información;Plazo de análisis;Análisis de información;Plazo de cronograma;Análisis y cronograma;Seguimiento a los acuerdos;Estándares (fecha programada);Registro (completo);ET (completo);CO (completo);DD (completo);REC (completo);SERVICIO (completo);Estándares;Resultados de orientación técnica;Verificación del servicio web geográfico;Verificar Aprobar Resultados;Revisar y validar los datos cargados en la base de datos;Aprobación resultados obtenidos en la orientación;Disponer datos temáticos;Fecha de publicación programada;Publicación;Catálogo de recursos geográficos;Plazo de oficio de cierre;Oficios de cierre;Fecha de oficio de cierre;Estado;Observación;Porcentaje Avance;Estado Fechas
131;Jairo Perdomo Reyes;Secretaría Distrital de Movilidad SDM;Red Semafórica ; Según necesidad;Actualizar;Si;30/10/2024;28/02/2025;Si;Si;Si;Si;;28/02/2025;;Si;;12/03/2025;No;30/05/2025;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;30/05/2025;No;No;No;No;No;No;13/06/2025;;No;;No;;;;;
132;Jairo Perdomo Reyes;Secretaría Distrital de Movilidad SDM;Cicloparqueaderos Certificados Bogotá D C 28/02/2025; Según necesidad;Actualizar;Si;30/10/2024;28/02/2025;Si;Si;Si;Si;;28/02/2025;;Si;;12/03/2025;No;30/05/2025;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;30/05/2025;No;No;No;No;No;No;13/06/2025;;No;;No;;;;;
133;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Rutas Troncales de Transmilenio;Según necesidad;Actualizar;Si;16/05/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
134;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Trazados Troncales de Transmilenio;Según necesidad;Actualizar;Si;16/05/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
136;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Rutas Zonales del SITP;Según necesidad;Actualizar;Si;16/05/2025;30/05/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
138;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Líneas de Cable;Según necesidad;Nuevo;Si;16/05/2025;30/06/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
139;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Estaciones de Cable;Según necesidad;Nuevo;Si;16/05/2025;30/06/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
141;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Pilonas Cable;Según necesidad;Nuevo;Si;16/05/2025;30/06/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
142;Ninfa Carolina Menjura Gualteros;Empresa de Transporte de Tercer Milenio (Transmilenio S.A);Nuevas Zonas SITP;Según necesidad;Nuevo;Si;16/05/2025;30/06/2025;Si;No;No;No;;;;No;;;No;;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Casa de Igualdad de Oportunidades para las Mujeres;Semestral;Actualizar;Si;20/02/2025;8/04/2025;Si;Si;Si;Si;;10/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Área de acceso peatonal de las manzanas del cuidado;Bimensual;Actualizar;Si;20/02/2025;8/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Área de cobertura de servicios de las manzanas del cuidado;Bimensual;Actualizar;Si;20/02/2025;14/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Equipamientos Ancla de las Manzanas del Cuidado;Bimensual;Actualizar;Si;20/02/2025;14/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Localidades con manzanas del cuidado activas;Bimensual;Actualizar;Si;20/02/2025;14/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Servicios prestados en las manzanas del cuidado;Trimestral;Actualizar;Si;20/02/2025;14/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Asesinatos de Mujeres por localidad;Trimestral;Actualizar;Si;20/02/2025;14/04/2025;Si;Si;Si;Si;;27/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Delitos Sexuales por localidad;Trimestral;Actualizar;Si;20/02/2025;14/04/2025;Si;Si;Si;Si;;27/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Violencia intrafamiliar por localidad;Trimestral;Actualizar;Si;20/02/2025;14/04/2025;Si;Si;Si;Si;;27/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Lesiones personales por localidad;Trimestral;Actualizar;Si;20/02/2025;14/04/2025;Si;Si;Si;Si;;27/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Riesgo de Feminicidio por localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;Si;Si;Si;;27/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones de Línea Purpura Distrital por localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Psicosociales Casa Todas por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Intervenciones Sociales Casa Todas por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Socio jurídicas Casa Todas por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones por intervenciones sociales CIOM por localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones por intervenciones sociales CIOM por punto de atención;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Psicosociales CIOM por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Psicosociales CIOM por Punto Atención;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Socio jurídicas CIOM por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Orientaciones Socio jurídicas CIOM por Punto Atención;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones DUPLAS por localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones de Duplas en transporte público por localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones psicosociales en otros espacios institucionales por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones socio jurídicas en otros espacios institucionales por Localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones socio jurídicas en hospitales por localidad;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones psicosociales en Sistema distrital de cuidado;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones socio jurídicas en Sistema distrital de cuidado;Trimestral;Actualizar;Si;20/02/2025;2/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretarpia Distrital de la Mujer;Atenciones del sistema distrital de cuidado InfoCuidado ;Anual;Nuevo;Si;20/02/2025;2/04/2025;Si;Si;Si;Si;;26/03/2025;;Si;;31/03/2025;No;16/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;20/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Reporte del Sistemas de Alertas por localidad;Semestral;Actualizar;Si;19/02/2025;7/03/2025;Si;Si;Si;Si;;24/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa del Sistemas de Alertas por localidad;Semestral;Actualizar;;;;;Si;Si;Si;;24/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Territorialización de la inversión por localidad;Anual;Actualizar;Si;19/02/2025;7/03/2025;Si;Si;Si;Si;;12/03/2025;;Si;;28/03/2025;Si;18/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Beneficiarios de alimentación por localidad;Semestral;Actualizar;Si;19/02/2025;22/04/2025;Si;Si;Si;Si;;21/04/2025;;Si;;25/04/2025;Si;23/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;Si;No;No;No;30/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Beneficiarios de movilidad por localidad;Semestral;Actualizar;Si;19/02/2025;22/04/2025;Si;Si;Si;Si;;21/04/2025;;Si;;25/04/2025;Si;23/05/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;Si;No;No;No;30/06/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Dirección Locales de Educación;Anual;Actualizar;Si;19/02/2025;9/04/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;Si;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Colegios;Trimestral;Actualizar;Si;19/02/2025;14/03/2025;Si;Si;Si;Si;;26/03/2025;;Si;;28/03/2025;Si;25/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Colegios Oficiales nuevos y en restitución;Semestral;Actualizar;Si;19/02/2025;23/05/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;Si;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Pruebas Saber 11;Anual;Actualizar;Si;19/02/2025;17/06/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;Si;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Densidad de matriculados en Colegios Oficiales;Anual;Actualizar;Si;19/02/2025;12/08/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;Si;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de deserción escolar colegio no oficial por localidad;Anual;Actualizar;Si;19/02/2025;22/08/2025;Si;Si;Si;Si;;19/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de deserción escolar colegio oficial por localidad;Anual;Actualizar;Si;19/02/2025;22/08/2025;Si;Si;Si;Si;;19/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de aprobación escolar colegio  no oficial por localidad;Anual;Actualizar;Si;19/02/2025;9/07/2025;Si;Si;Si;Si;;19/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de aprobación escolar colegio  oficial por localidad;Anual;Actualizar;Si;19/02/2025;9/07/2025;Si;Si;Si;Si;;19/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de reprobación escolar colegio  no oficial por localidad;Anual;Actualizar;Si;19/02/2025;22/08/2025;Si;Si;Si;Si;;19/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de reprobación escolar colegio  oficial por localidad;Anual;Actualizar;Si;19/02/2025;22/08/2025;Si;Si;Si;Si;;19/02/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Matrícula Oficial primera infancia;Anual;Actualizar;Si;19/02/2025;8/10/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Matrícula Oficial jornada única;Anual;Actualizar;Si;19/02/2025;8/10/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Matrícula total en colegios oficiales;Anual;Actualizar;Si;19/02/2025;8/10/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Demanda de cupos sector oficial;Anual;Actualizar;Si;19/02/2025;18/08/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Oferta de cupos sector oficial;Anual;Actualizar;Si;19/02/2025;8/09/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Nivel de formación de docentes por localidad en colegios de clase distrital;Anual;Actualizar;Si;19/02/2025;14/11/2025;Si;No;No;No;;;;No;;;No;;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Uso de recursos naturales en colegios oficiales;Semestral;Actualizar;Si;19/02/2025;21/04/2025;Si;No;No;No;;15/05/2025;;No;;21/05/2025;No;13/06/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;25/07/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Consumo per cápita de recursos naturales en colegios oficiales;Semestral;Actualizar;Si;19/02/2025;21/04/2025;Si;No;No;No;;15/05/2025;;No;;21/05/2025;No;13/06/2025;Completo;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;Sin iniciar;;No;No;No;No;No;No;25/07/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Secretaría de Educación del Distrito SED;Tasa de cobertura bruta por localidad y nivel educativo;Anual;Actualizar;Si;19/02/2025;10/11/2025;Si;Si;Si;Si;;24/01/2025;;Si;;27/02/2025;Si;11/04/2025;Completo;Completo;Completo;Completo;Completo;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
;Diana Constanza Carvajal Peña;Instituto Distrital para la Protección de la Niñez y la Juventud IDIPRON;Unidad de Protección Integral UPI;Anual;Actualizar;Si;19/02/2025;19/03/2025;Si;Si;Si;Si;;21/02/2025;;Si;;19/02/2025;Si;11/04/2025;Completo;En proceso;En proceso;En proceso;En proceso;Completo;28/05/2025;Si;Si;Si;Si;Si;No;30/05/2025;;No;;No;;;;;
